,token_name,token_address,token_decimals,amount_for_input_token_uni_v2,amount_for_input_token_uni_v3,max_amount_for_input_token,max_amount_for_input_token_wei_int,amount_for_quote_token_uni_v2,amount_for_quote_token_uni_v3,max_amount_for_token,arbitrage_result
0,FEI,0x956F47F50A910163D8BF957Cf5846D573E7f87CA,18,1.0332075168148918,0.9981183070963271,1.0332075168148918,1033207516814891776,0.992589,1.028792,1.028792,0.0279
1,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,18,0.9980987213160368,0.9968482266105444,0.9980987213160368,998098721316036864,0.994008,0.995248,0.995248,-0.0048
2,UNI,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,18,0.15928140852586506,0.1631902576786264,0.1631902576786264,163190257678626400,1.018097,0.994006,1.018097,0.1109
3,BOND,0x0391D2021f89DC339F60Fff84546EA23E337750f,18,0.21463365206181217,0.19159701257639228,0.21463365206181217,214633652061812160,0.994008,1.093696,1.093696,0.4365
