,token_name,token_address,token_decimals,amount_for_input_token_uni_v2,amount_for_input_token_uni_v3,max_amount_for_input_token,max_amount_for_input_token_wei_int,amount_for_quote_token_uni_v2,amount_for_quote_token_uni_v3,max_amount_for_token,arbitrage_result
0,FEI,0x956F47F50A910163D8BF957Cf5846D573E7f87CA,18,1.004690662684251,0.9981183070963271,1.004690662684251,1004690662684250880,0.992609,1.000399,1.000399,0.0004
1,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,18,0.9974014996113744,0.9968482266105444,0.9974014996113744,997401499611374336,0.994008,0.994552,0.994552,-0.0055
2,UNI,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,18,0.15118210430044587,0.1541032687791391,0.1541032687791391,154103268779139104,1.01292,0.994006,1.01292,0.0838
3,BOND,0x0391D2021f89DC339F60Fff84546EA23E337750f,18,0.20591523644707888,0.19159701257639228,0.20591523644707888,205915236447078880,0.994007,1.04967,1.04967,0.2412
